Date Registered,Date Watched,Onboarded,Paid,Student Country,Student Id,Minutes Watched
7/28/2022,9/19/2022,Yes,1,US,282839,95.2
7/28/2022,9/20/2022,Yes,1,US,282839,65
7/28/2022,8/2/2022,Yes,1,US,282839,5
7/28/2022,8/16/2022,Yes,1,US,282839,36.9
7/28/2022,8/18/2022,Yes,1,US,282839,24.2
7/28/2022,8/3/2022,Yes,1,US,282839,1.3
7/28/2022,8/5/2022,Yes,1,US,282839,3.4
7/28/2022,8/10/2022,Yes,1,US,282839,19.4
7/28/2022,8/11/2022,Yes,1,US,282839,5.1
7/28/2022,8/12/2022,Yes,1,US,282839,2.9
7/28/2022,8/15/2022,Yes,1,US,282839,44.2
7/28/2022,9/4/2022,Yes,1,US,282839,39.2
7/28/2022,8/17/2022,Yes,1,US,282839,66
7/28/2022,8/25/2022,Yes,1,US,282839,1.1
7/28/2022,8/26/2022,Yes,1,US,282839,8.6
7/28/2022,8/29/2022,Yes,1,US,282839,3.8
7/28/2022,8/30/2022,Yes,1,US,282839,14.6
7/28/2022,7/28/2022,Yes,0,IN,282840,4.5
7/28/2022,7/28/2022,Yes,0,NG,282843,1.7
7/28/2022,7/29/2022,Yes,0,IN,282845,24.6
7/28/2022,7/28/2022,Yes,0,IN,282845,21
7/28/2022,7/28/2022,Yes,0,TH,282846,0.5
7/28/2022,8/17/2022,Yes,0,IN,282849,976.2
7/28/2022,8/18/2022,Yes,0,IN,282849,63.1
7/28/2022,7/28/2022,Yes,0,IN,282849,81.8
7/28/2022,7/30/2022,Yes,0,IN,282849,18
7/28/2022,8/15/2022,Yes,0,IN,282849,307.2
7/28/2022,8/16/2022,Yes,0,IN,282849,504.4
7/28/2022,9/28/2022,Yes,0,IN,282849,0.1
7/28/2022,8/5/2022,Yes,0,GB,282850,14.3
7/28/2022,7/28/2022,Yes,0,GB,282850,21.4
7/28/2022,8/3/2022,Yes,0,GB,282850,20.9
7/28/2022,8/14/2022,Yes,0,IN,282851,4.4
7/28/2022,7/28/2022,Yes,0,IN,282852,36.3
7/28/2022,9/19/2022,Yes,0,NG,282853,6.7
7/28/2022,7/29/2022,Yes,0,NG,282853,6.8
7/28/2022,7/30/2022,Yes,0,NG,282853,29.8
7/28/2022,8/11/2022,Yes,0,NG,282853,21.2
7/28/2022,7/31/2022,Yes,0,NG,282853,3.9
7/28/2022,8/6/2022,Yes,0,NG,282853,4.1
7/28/2022,8/10/2022,Yes,0,NG,282853,11.7
7/28/2022,8/18/2022,Yes,0,NG,282853,10.5
7/28/2022,8/21/2022,Yes,0,NG,282853,1.6
7/28/2022,8/13/2022,Yes,0,NG,282854,38.4
7/28/2022,7/28/2022,Yes,0,NG,282854,1.2
7/28/2022,7/30/2022,Yes,0,NG,282854,9.8
7/28/2022,8/5/2022,Yes,0,NG,282854,3
7/28/2022,7/28/2022,Yes,0,NG,282855,12.1
7/28/2022,7/28/2022,Yes,0,IN,282857,0.8
7/28/2022,7/28/2022,Yes,0,IN,282858,3.8
7/28/2022,7/28/2022,Yes,0,EG,282860,0.7
7/28/2022,7/28/2022,Yes,0,IN,282861,0.2
7/28/2022,7/28/2022,Yes,0,SL,282864,49.7
7/28/2022,7/29/2022,Yes,0,SL,282864,34
7/28/2022,7/31/2022,Yes,0,SL,282864,13
7/28/2022,8/2/2022,Yes,0,SL,282864,10.7
7/28/2022,8/1/2022,Yes,0,SL,282864,2.3
7/28/2022,7/28/2022,Yes,0,SA,282865,56
7/28/2022,7/29/2022,Yes,0,SA,282865,4.2
7/28/2022,9/2/2022,Yes,0,SA,282865,39
7/28/2022,7/28/2022,Yes,0,US,282869,29.9
7/28/2022,8/4/2022,Yes,0,HK,282872,3.9
7/28/2022,9/9/2022,Yes,0,HK,282872,0.2
7/28/2022,7/28/2022,Yes,0,EG,282873,0.8
7/28/2022,7/28/2022,Yes,0,HK,282874,2.4
7/28/2022,7/28/2022,Yes,0,US,282878,0.2
7/28/2022,7/28/2022,Yes,0,IN,282879,0.2
